id,status,ownerEmail,beneficiaryFullName,paymentMethodCode,paymentAmount,receivingAmount,paymentCurrencyCode,receivingCurrencyCode,createdAt
bf2f3336-2737-4a99-9bdb-d3157568b91c,PAID_SENDING_TO_RECEIVER,smoke_1774629966229_manual@example.com,Beneficiary Manual,STRIPE,60,21535,USD,CUP,2026-03-27T16:46:07.301Z
e03767f9-a872-489b-b889-50a024aa923d,PENDING_PAYMENT,smoke_1774629966229_external@example.com,Beneficiary External,STRIPE,80,28835,USD,CUP,2026-03-27T16:46:07.134Z
d984927d-451d-4112-8d66-eefe8c175a0d,PAID_SENDING_TO_RECEIVER,smoke_1774629966229_external@example.com,Beneficiary External,STRIPE,100,36135,USD,CUP,2026-03-27T16:46:06.605Z
585539f2-2efe-4cea-9567-ee0ec02c7990,PENDING_PAYMENT,smoke_1774629905553_external@example.com,Beneficiary External,STRIPE,100,36135,USD,CUP,2026-03-27T16:45:06.688Z
9e7d7e21-66e9-4d91-b1d7-fab50274dc48,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Beneficiario USDT,USDT_TRC20,100,36500,USDT,CUP,2026-03-26T16:50:01.046Z
a3a78de3-5127-4024-b9c0-22a6f7ec5814,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Beneficiario IBAN,IBAN,120,43800,USD,CUP,2026-03-26T15:55:43.951Z
ed93fdf3-0319-4401-be0d-0ba3182253e8,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Hernes Rodriguez Cabrera,ZELLE,100,36500,USD,CUP,2026-03-26T15:41:46.819Z
3837134c-2ecb-40fa-b7a3-9e8af6091dc8,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Jose Muñoz,IBAN,100,36500,USD,CUP,2026-03-25T19:00:41.935Z
63b1c776-9828-47ec-be6b-20a2f99ec0b5,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Jose Muñoz,ZELLE,100,36500,USD,CUP,2026-03-25T18:57:53.567Z
7666b569-0746-47c6-a820-e8e0374434ae,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Jose Muñoz,ZELLE,100,36500,USD,CUP,2026-03-25T16:11:50.207Z
9a9aa296-a729-46d0-8bf7-7976f6d453da,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Manual Visible QA,ZELLE,100,36500,USD,CUP,2026-03-25T02:43:39.702Z
505b80cf-aec2-4202-8990-4c1cfa3bde69,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Manual Oculto QA,ZELLE,100,36500,USD,CUP,2026-03-25T01:55:42.516Z
d767f558-4db4-41cf-bb0c-2b99353fbd7e,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Jose Muñoz,ZELLE,100,36500,USD,CUP,2026-03-24T20:11:09.181Z
6ec5d23a-13a1-4a7f-b396-3ab65752f1a6,PENDING_PAYMENT,hermesrodriguezquesada@gmail.com,Jose Muñoz,ZELLE,100,34675,USD,CUP,2026-03-24T16:11:01.291Z
f0c73e2d-ddd8-4ffe-9d86-b6f56ec42931,PAID_SENDING_TO_RECEIVER,hermesrodriguezquesada@gmail.com,Jose Muñoz,ZELLE,100,34675,USD,CUP,2026-03-19T18:50:47.108Z
218f7159-df6e-4c82-a63e-719479bf09fc,PENDING_PAYMENT,owner.rf030.1773784805948.7026@example.com,Beneficiary RF030,ZELLE,150,18000,USD,CUP,2026-03-17T22:00:06.855Z
983b1d92-8f03-43f6-8b87-8e88cb5de05f,PENDING_PAYMENT,admin.catalogs@example.com,Smoke Breaking Cleanup,ZELLE,10,1825,USD,CUP,2026-03-13T15:56:55.776Z
cbf96a9b-941b-4641-97fe-1b59b36a70db,PENDING_PAYMENT,admin.catalogs@example.com,Smoke Owner Alias,ZELLE,10,1250,USD,MLC,2026-03-13T15:10:50.189Z
4ebb320e-cc82-40a7-8ea5-0224c9daa732,SUCCESS,qa1client1@test.com,Gualdo Mendez EDITADO,ZELLE,100,28500,USD,CUP,2026-03-04T00:25:05.484Z
c251e47e-1720-412e-8d01-ba3836680443,CANCELED_BY_CLIENT,qa1client1@test.com,Gualdo Mendez EDITADO,ZELLE,100,28500,USD,CUP,2026-03-02T23:16:35.956Z
a17ebfaf-1f63-4d71-90b8-50400ec68cc6,CANCELED_BY_ADMIN,qa1client1@test.com,Gualdo Mendez EDITADO,ZELLE,100,28500,USD,CUP,2026-03-02T22:52:41.713Z
ebb2616c-098b-42b8-8a1e-40d548055ad2,PENDING_PAYMENT,qa1client1@test.com,Gualdo Mendez EDITADO,ZELLE,100,28500,USD,CUP,2026-03-02T22:43:20.103Z
080de7da-e4ee-4579-9e6b-2cb6ce4dd7c3,PENDING_PAYMENT,qa1client1@test.com,Gualdo Mendez EDITADO,ZELLE,100,23750,USD,MLC,2026-03-02T22:37:39.413Z
d0d06f64-d53a-450b-ab89-c9b0aa43d3ca,PENDING_PAYMENT,cliente1@test.com,María Fernanda López,IBAN,10,,USD,,2026-02-26T03:17:39.593Z
715fe6a8-4755-4fa6-9ad4-cf8ace5aeeee,PENDING_PAYMENT,cliente1@test.com,María Fernanda López,,1,,USD,,2026-02-26T02:57:59.231Z
